Linux 6.17.0-1022-azure (eloqkv-benchmark-chenzhao-v4) 	09/14/26 	_x86_64_	(16 CPU)

17:09:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:09:21     all   31.60    0.00   42.15    0.13    0.00   26.13    0.00    0.00    0.00    0.00
17:09:21       0   33.33    0.00   41.18    0.98    0.00   24.51    0.00    0.00    0.00    0.00
17:09:21       1   29.59    0.00   39.80    0.00    0.00   30.61    0.00    0.00    0.00    0.00
17:09:21       2   29.00    0.00   44.00    0.00    0.00   27.00    0.00    0.00    0.00    0.00
17:09:21       3   30.00    0.00   41.00    0.00    0.00   29.00    0.00    0.00    0.00    0.00
17:09:21       4   32.32    0.00   43.43    0.00    0.00   24.24    0.00    0.00    0.00    0.00
17:09:21       5   32.32    0.00   43.43    0.00    0.00   24.24    0.00    0.00    0.00    0.00
17:09:21       6   30.30    0.00   39.39    0.00    0.00   30.30    0.00    0.00    0.00    0.00
17:09:21       7   31.63    0.00   38.78    0.00    0.00   29.59    0.00    0.00    0.00    0.00
17:09:21       8   35.00    0.00   42.00    0.00    0.00   23.00    0.00    0.00    0.00    0.00
17:09:21       9   29.29    0.00   44.44    0.00    0.00   26.26    0.00    0.00    0.00    0.00
17:09:21      10   30.30    0.00   42.42    0.00    0.00   27.27    0.00    0.00    0.00    0.00
17:09:21      11   32.67    0.00   44.55    0.00    0.00   22.77    0.00    0.00    0.00    0.00
17:09:21      12   34.34    0.00   43.43    0.00    0.00   22.22    0.00    0.00    0.00    0.00
17:09:21      13   32.00    0.00   41.00    1.00    0.00   26.00    0.00    0.00    0.00    0.00
17:09:21      14   31.31    0.00   43.43    0.00    0.00   25.25    0.00    0.00    0.00    0.00
17:09:21      15   32.00    0.00   42.00    0.00    0.00   26.00    0.00    0.00    0.00    0.00

17:09:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:09:22     all   32.42    0.00   41.30    0.25    0.00   26.03    0.00    0.00    0.00    0.00
17:09:22       0   32.65    0.00   44.90    0.00    0.00   22.45    0.00    0.00    0.00    0.00
17:09:22       1   33.66    0.00   37.62    0.99    0.00   27.72    0.00    0.00    0.00    0.00
17:09:22       2   34.00    0.00   37.00    1.00    0.00   28.00    0.00    0.00    0.00    0.00
17:09:22       3   31.31    0.00   39.39    0.00    0.00   29.29    0.00    0.00    0.00    0.00
17:09:22       4   33.66    0.00   41.58    0.00    0.00   24.75    0.00    0.00    0.00    0.00
17:09:22       5   31.37    0.00   44.12    0.98    0.00   23.53    0.00    0.00    0.00    0.00
17:09:22       6   32.32    0.00   43.43    0.00    0.00   24.24    0.00    0.00    0.00    0.00
17:09:22       7   31.00    0.00   41.00    0.00    0.00   28.00    0.00    0.00    0.00    0.00
17:09:22       8   30.00    0.00   44.00    0.00    0.00   26.00    0.00    0.00    0.00    0.00
17:09:22       9   34.00    0.00   42.00    0.00    0.00   24.00    0.00    0.00    0.00    0.00
17:09:22      10   32.00    0.00   43.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00
17:09:22      11   34.34    0.00   41.41    0.00    0.00   24.24    0.00    0.00    0.00    0.00
17:09:22      12   31.68    0.00   38.61    0.99    0.00   28.71    0.00    0.00    0.00    0.00
17:09:22      13   32.32    0.00   39.39    0.00    0.00   28.28    0.00    0.00    0.00    0.00
17:09:22      14   32.00    0.00   42.00    0.00    0.00   26.00    0.00    0.00    0.00    0.00
17:09:22      15   32.32    0.00   41.41    0.00    0.00   26.26    0.00    0.00    0.00    0.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   32.01    0.00   41.72    0.19    0.00   26.08    0.00    0.00    0.00    0.00
Average:       0   33.00    0.00   43.00    0.50    0.00   23.50    0.00    0.00    0.00    0.00
Average:       1   31.66    0.00   38.69    0.50    0.00   29.15    0.00    0.00    0.00    0.00
Average:       2   31.50    0.00   40.50    0.50    0.00   27.50    0.00    0.00    0.00    0.00
Average:       3   30.65    0.00   40.20    0.00    0.00   29.15    0.00    0.00    0.00    0.00
Average:       4   33.00    0.00   42.50    0.00    0.00   24.50    0.00    0.00    0.00    0.00
Average:       5   31.84    0.00   43.78    0.50    0.00   23.88    0.00    0.00    0.00    0.00
Average:       6   31.31    0.00   41.41    0.00    0.00   27.27    0.00    0.00    0.00    0.00
Average:       7   31.31    0.00   39.90    0.00    0.00   28.79    0.00    0.00    0.00    0.00
Average:       8   32.50    0.00   43.00    0.00    0.00   24.50    0.00    0.00    0.00    0.00
Average:       9   31.66    0.00   43.22    0.00    0.00   25.13    0.00    0.00    0.00    0.00
Average:      10   31.16    0.00   42.71    0.00    0.00   26.13    0.00    0.00    0.00    0.00
Average:      11   33.50    0.00   43.00    0.00    0.00   23.50    0.00    0.00    0.00    0.00
Average:      12   33.00    0.00   41.00    0.50    0.00   25.50    0.00    0.00    0.00    0.00
Average:      13   32.16    0.00   40.20    0.50    0.00   27.14    0.00    0.00    0.00    0.00
Average:      14   31.66    0.00   42.71    0.00    0.00   25.63    0.00    0.00    0.00    0.00
Average:      15   32.16    0.00   41.71    0.00    0.00   26.13    0.00    0.00    0.00    0.00
