Linux 6.17.0-1022-azure (eloqkv-benchmark-chenzhao-v4) 	09/14/26 	_x86_64_	(16 CPU)

17:09:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:09:19     all   44.54    0.00   24.70   11.74    0.00   18.83    0.00    0.00    0.00    0.19
17:09:19       0   54.74    0.00   34.74   10.53    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       1   54.08    0.00   34.69   11.22    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       2   53.61    0.00   35.05   11.34    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       3   55.10    0.00   32.65   12.24    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       4   54.08    0.00   32.65   13.27    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       5   56.70    0.00   28.87   14.43    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       6   56.12    0.00   29.59   14.29    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       7   55.21    0.00   28.12   16.67    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       8   54.64    0.00   27.84   17.53    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19       9   53.06    0.00   27.55   19.39    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19      10   52.58    0.00   25.77   21.65    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19      11   55.67    0.00   19.59   24.74    0.00    0.00    0.00    0.00    0.00    0.00
17:09:19      12   14.14    0.00    9.09    0.00    0.00   76.77    0.00    0.00    0.00    0.00
17:09:19      13   17.00    0.00   12.00    0.00    0.00   70.00    0.00    0.00    0.00    1.00
17:09:19      14   12.87    0.00    8.91    0.99    0.00   76.24    0.00    0.00    0.00    0.99
17:09:19      15   16.83    0.00    9.90    0.99    0.00   71.29    0.00    0.00    0.00    0.99

17:09:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:09:20     all   45.21    0.00   24.27   12.01    0.00   18.45    0.00    0.00    0.00    0.06
17:09:20       0   54.55    0.00   33.33   12.12    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       1   54.55    0.00   33.33   12.12    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       2   56.70    0.00   30.93   12.37    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       3   55.21    0.00   31.25   13.54    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       4   56.25    0.00   29.17   14.58    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       5   57.73    0.00   27.84   14.43    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       6   55.21    0.00   29.17   15.62    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       7   56.12    0.00   27.55   16.33    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       8   54.64    0.00   26.80   18.56    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20       9   53.12    0.00   27.08   19.79    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20      10   56.84    0.00   22.11   21.05    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20      11   53.61    0.00   23.71   22.68    0.00    0.00    0.00    0.00    0.00    0.00
17:09:20      12   15.53    0.00   11.65    0.97    0.00   70.87    0.00    0.00    0.00    0.97
17:09:20      13   17.00    0.00   15.00    0.00    0.00   68.00    0.00    0.00    0.00    0.00
17:09:20      14   15.00    0.00    9.00    0.00    0.00   76.00    0.00    0.00    0.00    0.00
17:09:20      15   16.00    0.00   12.00    0.00    0.00   72.00    0.00    0.00    0.00    0.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   44.88    0.00   24.48   11.87    0.00   18.64    0.00    0.00    0.00    0.13
Average:       0   54.64    0.00   34.02   11.34    0.00    0.00    0.00    0.00    0.00    0.00
Average:       1   54.31    0.00   34.01   11.68    0.00    0.00    0.00    0.00    0.00    0.00
Average:       2   55.15    0.00   32.99   11.86    0.00    0.00    0.00    0.00    0.00    0.00
Average:       3   55.15    0.00   31.96   12.89    0.00    0.00    0.00    0.00    0.00    0.00
Average:       4   55.15    0.00   30.93   13.92    0.00    0.00    0.00    0.00    0.00    0.00
Average:       5   57.22    0.00   28.35   14.43    0.00    0.00    0.00    0.00    0.00    0.00
Average:       6   55.67    0.00   29.38   14.95    0.00    0.00    0.00    0.00    0.00    0.00
Average:       7   55.67    0.00   27.84   16.49    0.00    0.00    0.00    0.00    0.00    0.00
Average:       8   54.64    0.00   27.32   18.04    0.00    0.00    0.00    0.00    0.00    0.00
Average:       9   53.09    0.00   27.32   19.59    0.00    0.00    0.00    0.00    0.00    0.00
Average:      10   54.69    0.00   23.96   21.35    0.00    0.00    0.00    0.00    0.00    0.00
Average:      11   54.64    0.00   21.65   23.71    0.00    0.00    0.00    0.00    0.00    0.00
Average:      12   14.85    0.00   10.40    0.50    0.00   73.76    0.00    0.00    0.00    0.50
Average:      13   17.00    0.00   13.50    0.00    0.00   69.00    0.00    0.00    0.00    0.50
Average:      14   13.93    0.00    8.96    0.50    0.00   76.12    0.00    0.00    0.00    0.50
Average:      15   16.42    0.00   10.95    0.50    0.00   71.64    0.00    0.00    0.00    0.50
