product,workload,connections,qps,avg_latency_ms,p50_ms,p99_ms,p999_ms
Keylane raw io_uring,GET,80,253250.96,0.31568,0.311,0.447,0.791
Keylane raw io_uring,GET,160,444807.97,0.35923,0.359,0.511,1.031
Keylane raw io_uring,GET,320,661401.05,0.48343,0.463,0.871,1.479
Keylane raw io_uring,GET,640,771496.27,0.82918,0.783,1.919,4.047
Keylane raw io_uring,GET,1280,784179.39,1.63157,1.527,4.095,8.895
Keylane raw io_uring,GET,2560,690259.48,3.70729,3.551,7.679,21.503
Dragonfly v1.40.2,GET,80,199548.43,0.40069,0.343,2.591,7.359
Dragonfly v1.40.2,GET,160,297608.96,0.53718,0.407,4.415,13.055
Dragonfly v1.40.2,GET,320,347583.54,0.92006,0.567,12.415,24.063
Dragonfly v1.40.2,GET,640,367956.16,1.73854,0.919,25.343,45.823
Dragonfly v1.40.2,GET,1280,378851.32,3.37761,1.439,47.615,77.823
Dragonfly v1.40.2,GET,2560,371890.46,6.88397,2.687,92.159,152.575
Garnet v2.1.5,GET,80,177015.67,0.45174,0.359,2.335,3.887
Garnet v2.1.5,GET,160,247875.06,0.64504,0.519,3.503,5.919
Garnet v2.1.5,GET,320,306276.87,1.04423,0.903,3.951,6.751
Garnet v2.1.5,GET,640,332665.16,1.92321,1.735,3.743,5.503
Garnet v2.1.5,GET,1280,318165.27,4.02201,3.647,5.951,11.711
Garnet v2.1.5,GET,2560,292481.50,8.75040,9.087,13.247,25.599
Keylane raw io_uring,SET,80,320359.53,0.24941,0.223,0.535,4.511
Keylane raw io_uring,SET,160,513385.01,0.31130,0.263,2.367,5.407
Keylane raw io_uring,SET,320,671864.60,0.47599,0.359,4.447,6.559
Keylane raw io_uring,SET,640,811734.07,0.78812,0.527,6.207,9.087
Keylane raw io_uring,SET,1280,856523.03,1.49382,1.015,8.511,12.799
Keylane raw io_uring,SET,2560,790186.11,3.23862,2.559,13.439,23.295
Dragonfly v1.40.2,SET,80,268251.36,0.29798,0.263,1.519,4.831
Dragonfly v1.40.2,SET,160,378335.10,0.42250,0.303,3.679,12.415
Dragonfly v1.40.2,SET,320,440721.79,0.72565,0.423,9.023,22.399
Dragonfly v1.40.2,SET,640,474878.91,1.34711,0.719,17.023,39.423
Dragonfly v1.40.2,SET,1280,594940.53,2.15081,1.551,21.375,51.199
Dragonfly v1.40.2,SET,2560,537193.25,4.76436,3.823,38.911,86.527
Garnet v2.1.5,SET,80,365630.02,0.21855,0.207,0.647,1.839
Garnet v2.1.5,SET,160,490332.22,0.32596,0.255,1.823,3.567
Garnet v2.1.5,SET,320,669057.36,0.47799,0.375,2.079,4.287
Garnet v2.1.5,SET,640,757441.83,0.84455,0.615,3.855,7.007
Garnet v2.1.5,SET,1280,764916.80,1.67274,1.399,5.183,11.263
Garnet v2.1.5,SET,2560,720261.55,3.55302,3.311,8.831,21.375
