product,op,connections,n,qps,qps_min,qps_max,p99_ms,p999_ms,client_cpu_cores,sources
lavik-spdk,GET,320,1,812265.29,812265.29,812265.29,0.943,2.047,10.600794888750057,['lavik-spdk/get-r1-c320.result.json']
lavik-spdk,GET,640,3,1013273.7566666667,1011807.38,1016050.97,3.583,5.673666666666667,13.478208317107088,"['lavik-spdk/get-r2-c640.result.json', 'lavik-spdk/get-r1-c640.result.json', 'lavik-spdk/get-r3-c640.result.json']"
lavik-spdk,GET,960,3,1016587.1966666667,1014966.15,1017805.13,4.1803333333333335,7.4656666666666665,13.832401381459972,"['matrix/lavik-spdk/get-r2-c960.result.json', 'matrix/lavik-spdk/get-r3-c960.result.json', 'matrix/lavik-spdk/get-r1-c960.result.json']"
lavik-spdk,GET,1280,3,940896.1466666667,931791.56,949867.09,9.577666666666667,14.377666666666666,12.38355989148942,"['lavik-spdk/get-r2-c1280.result.json', 'lavik-spdk/get-r3-c1280.result.json', 'lavik-spdk/get-r1-c1280.result.json']"
lavik-spdk,GET,1600,1,903667.72,903667.72,903667.72,15.615,20.095,11.73525024941663,['matrix/lavik-spdk/get-r1-c1600.result.json']
lavik-spdk,GET,1920,1,872540.52,872540.52,872540.52,20.735,25.855,11.363415569576475,['matrix/lavik-spdk/get-r1-c1920.result.json']
lavik-spdk,GET,2240,1,833956.91,833956.91,833956.91,26.879,34.559,10.945621992971127,['matrix/lavik-spdk/get-r1-c2240.result.json']
lavik-spdk,GET,2560,1,797767.88,797767.88,797767.88,32.383,41.471,10.613411016477945,['lavik-spdk/get-r1-c2560.result.json']
lavik-spdk,GET,2880,1,775028.32,775028.32,775028.32,36.863,50.687,10.348991451007754,['matrix/lavik-spdk/get-r1-c2880.result.json']
lavik-spdk,GET,3200,1,754163.81,754163.81,754163.81,41.727,55.039,10.208045296661126,['matrix/lavik-spdk/get-r1-c3200.result.json']
lavik-spdk,GET,3520,1,739773.86,739773.86,739773.86,46.079,59.647,10.062758876217393,['matrix/lavik-spdk/get-r1-c3520.result.json']
lavik-spdk,GET,3840,1,728256.33,728256.33,728256.33,49.663,65.023,10.01577447785884,['matrix/lavik-spdk/get-r1-c3840.result.json']
lavik-spdk,SET,320,1,808781.17,808781.17,808781.17,1.863,3.359,10.656526701971188,['lavik-spdk/set-r1-c320.result.json']
lavik-spdk,SET,640,3,908316.37,904173.17,910416.25,3.583,5.2363333333333335,12.307279723800514,"['lavik-spdk/set-r3-c640.result.json', 'lavik-spdk/set-r1-c640.result.json', 'lavik-spdk/set-r2-c640.result.json']"
lavik-spdk,SET,960,3,944444.8366666667,935180.14,955670.12,4.137666666666666,6.804333333333333,13.007594899687255,"['matrix/lavik-spdk/set-r3-c960.result.json', 'matrix/lavik-spdk/set-r1-c960.result.json', 'matrix/lavik-spdk/set-r2-c960.result.json']"
lavik-spdk,SET,1280,3,951893.3666666667,942550.27,959958.36,4.681666666666667,7.913666666666667,13.002180544706906,"['lavik-spdk/set-r3-c1280.result.json', 'lavik-spdk/set-r2-c1280.result.json', 'lavik-spdk/set-r1-c1280.result.json']"
lavik-spdk,SET,1600,1,943399.07,943399.07,943399.07,5.311,10.239,12.909103061579641,['matrix/lavik-spdk/set-r1-c1600.result.json']
lavik-spdk,SET,1920,1,916060.16,916060.16,916060.16,6.143,14.463,12.567698930602344,['matrix/lavik-spdk/set-r1-c1920.result.json']
lavik-spdk,SET,2240,1,882549.93,882549.93,882549.93,7.199,23.551,12.32061312026669,['matrix/lavik-spdk/set-r1-c2240.result.json']
lavik-spdk,SET,2560,1,864901.01,864901.01,864901.01,8.511,31.615,12.040749370335387,['lavik-spdk/set-r1-c2560.result.json']
lavik-spdk,SET,2880,1,807353.11,807353.11,807353.11,12.543,65.279,11.37342358887957,['matrix/lavik-spdk/set-r1-c2880.result.json']
lavik-spdk,SET,3200,1,766603.88,766603.88,766603.88,18.175,107.007,11.047022517714012,['matrix/lavik-spdk/set-r1-c3200.result.json']
lavik-spdk,SET,3520,1,730800.49,730800.49,730800.49,26.367,160.767,10.653531644624898,['matrix/lavik-spdk/set-r1-c3520.result.json']
lavik-spdk,SET,3840,1,706602.59,706602.59,706602.59,29.695,197.631,10.372867216086911,['matrix/lavik-spdk/set-r1-c3840.result.json']
redis-io16,GET,320,1,786092.66,786092.66,786092.66,0.911,1.367,9.925940597964154,['redis-io16/get-r1-c320.result.json']
redis-io16,GET,640,1,925469.22,925469.22,925469.22,3.295,4.575,12.24879447763519,['redis-io16/get-r1-c640.result.json']
redis-io16,GET,960,1,964389.66,964389.66,964389.66,4.095,6.815,12.946253807802382,['arithmetic/redis-io16/get-r1-c960.result.json']
redis-io16,GET,1280,3,981624.4933333333,978371.76,983327.57,4.628333333333334,7.753666666666667,13.011803812229092,"['redis-io16/get-r2-c1280.result.json', 'redis-io16/get-r3-c1280.result.json', 'redis-io16/get-r1-c1280.result.json']"
redis-io16,GET,1600,1,989307.37,989307.37,989307.37,5.215,10.175,13.080119868132723,['arithmetic/redis-io16/get-r1-c1600.result.json']
redis-io16,GET,1920,1,998252.77,998252.77,998252.77,5.759,11.903,13.308541278491937,['arithmetic/redis-io16/get-r1-c1920.result.json']
redis-io16,GET,2240,1,1006476.62,1006476.62,1006476.62,6.271,14.015,13.53635024737575,['arithmetic/redis-io16/get-r1-c2240.result.json']
redis-io16,GET,2560,3,1011514.9133333333,1004147.41,1018627.62,6.751,15.508333333333333,14.11767174084471,"['redis-io16/get-r3-c2560.result.json', 'redis-io16/get-r2-c2560.result.json', 'redis-io16/get-r1-c2560.result.json']"
redis-io16,GET,2880,3,1011651.9133333333,1006576.41,1016687.33,7.455,17.449666666666666,14.009430213719048,"['arithmetic/redis-io16/get-r1-c2880.result.json', 'arithmetic/redis-io16/get-r2-c2880.result.json', 'arithmetic/redis-io16/get-r3-c2880.result.json']"
redis-io16,GET,3200,1,1003418.96,1003418.96,1003418.96,8.767,20.607,13.793844605933018,['arithmetic/redis-io16/get-r1-c3200.result.json']
