system,workload,qps,avg_ms,p99_ms,p999_ms,count,connection_errors,get_misses_per_second
lavik-spdk,get,316139.85,0.253,0.383,0.607,94842116,0,0.0
lavik-spdk,mixed,354235.51,0.225,0.767,1.639,106270854,0,0.0
lavik-spdk,set,363847.67,0.219,1.399,2.671,109154734,0,0.0
lavik-raw,get,287278.4,0.278,0.423,0.679,86183641,0,0.0
lavik-raw,mixed,330474.78,0.242,0.751,1.583,99142648,0,0.0
lavik-raw,set,360064.39,0.222,1.399,2.703,108019638,0,0.0
lavik-files,get,282293.98,0.283,0.431,0.655,84688332,0,0.0
lavik-files,mixed,320144.74,0.249,0.791,1.567,96043523,0,0.0
lavik-files,set,359652.36,0.222,1.399,2.655,107895846,0,0.0
garnet,get,208347.59,0.383,2.447,4.767,62504416,0,0.0
garnet,mixed,287567.52,0.278,1.887,3.279,86270390,0,0.0
garnet,set,388682.07,0.205,1.439,3.487,116604988,0,0.0
dragonfly,get,187153.99,0.427,3.327,14.719,56146640,0,0.0
dragonfly,mixed,183506.95,0.435,4.383,10.943,55052193,0,0.0
dragonfly,set,181607.64,0.44,5.023,10.623,54482762,0,0.0
pika,get,93320.87,0.857,1.911,3.631,27996325,0,0.0
pika,mixed,76016.72,1.052,3.871,8.831,22805056,0,0.0
pika,set,76481.51,1.046,4.015,8.031,22944494,0,0.0
kvrocks,get,82949.14,0.964,1.863,2.399,24884917,0,0.0
kvrocks,mixed,99210.78,0.806,1.999,2.879,29763791,0,0.0
kvrocks,set,106180.99,0.753,1.679,2.383,31854483,0,0.0
tendis,get,87368.36,0.915,1.279,9.663,26210554,0,0.0
tendis,mixed,110891.11,0.721,1.831,12.543,33271616,0,0.0
tendis,set,173639.1,0.46,1.231,1.927,52091932,0,0.0
keydb,get,7633.56,10.479,13.887,19.583,2290113,0,0.0
keydb,mixed,7048.8,11.348,17.535,23.295,2114661,0,0.0
keydb,set,6672.89,11.988,19.327,24.319,2001925,0,0.0
