
4412407808 bytes (4.4 GB, 4.1 GiB) copied, 1 s, 4.4 GB/s
8808038400 bytes (8.8 GB, 8.2 GiB) copied, 2 s, 4.4 GB/s
13203668992 bytes (13 GB, 12 GiB) copied, 3 s, 4.4 GB/s 
17582522368 bytes (18 GB, 16 GiB) copied, 4 s, 4.4 GB/s
21961375744 bytes (22 GB, 20 GiB) copied, 5 s, 4.4 GB/s
26357006336 bytes (26 GB, 25 GiB) copied, 6 s, 4.4 GB/s
30735859712 bytes (31 GB, 29 GiB) copied, 7 s, 4.4 GB/s
35114713088 bytes (35 GB, 33 GiB) copied, 8 s, 4.4 GB/s
39510343680 bytes (40 GB, 37 GiB) copied, 9 s, 4.4 GB/s
43905974272 bytes (44 GB, 41 GiB) copied, 10 s, 4.4 GB/s
48268050432 bytes (48 GB, 45 GiB) copied, 11 s, 4.4 GB/s
52663681024 bytes (53 GB, 49 GiB) copied, 12 s, 4.4 GB/s
57059311616 bytes (57 GB, 53 GiB) copied, 13 s, 4.4 GB/s
61421387776 bytes (61 GB, 57 GiB) copied, 14 s, 4.4 GB/s
65817018368 bytes (66 GB, 61 GiB) copied, 15 s, 4.4 GB/s
70212648960 bytes (70 GB, 65 GiB) copied, 16 s, 4.4 GB/s
74574725120 bytes (75 GB, 69 GiB) copied, 17 s, 4.4 GB/s
78970355712 bytes (79 GB, 74 GiB) copied, 18 s, 4.4 GB/s
83365986304 bytes (83 GB, 78 GiB) copied, 19 s, 4.4 GB/s
87744839680 bytes (88 GB, 82 GiB) copied, 20 s, 4.4 GB/s
92123693056 bytes (92 GB, 86 GiB) copied, 21 s, 4.4 GB/s
96519323648 bytes (97 GB, 90 GiB) copied, 22 s, 4.4 GB/s
100898177024 bytes (101 GB, 94 GiB) copied, 23 s, 4.4 GB/s
105277030400 bytes (105 GB, 98 GiB) copied, 24 s, 4.4 GB/s
109672660992 bytes (110 GB, 102 GiB) copied, 25 s, 4.4 GB/s
114068291584 bytes (114 GB, 106 GiB) copied, 26 s, 4.4 GB/s
118430367744 bytes (118 GB, 110 GiB) copied, 27 s, 4.4 GB/s
122825998336 bytes (123 GB, 114 GiB) copied, 28 s, 4.4 GB/s
127221628928 bytes (127 GB, 118 GiB) copied, 29 s, 4.4 GB/s
131583705088 bytes (132 GB, 123 GiB) copied, 30 s, 4.4 GB/s
135979335680 bytes (136 GB, 127 GiB) copied, 31 s, 4.4 GB/s
140374966272 bytes (140 GB, 131 GiB) copied, 32 s, 4.4 GB/s
144737042432 bytes (145 GB, 135 GiB) copied, 33 s, 4.4 GB/s
149132673024 bytes (149 GB, 139 GiB) copied, 34 s, 4.4 GB/s
153528303616 bytes (154 GB, 143 GiB) copied, 35 s, 4.4 GB/s
157907156992 bytes (158 GB, 147 GiB) copied, 36 s, 4.4 GB/s
162286010368 bytes (162 GB, 151 GiB) copied, 37 s, 4.4 GB/s
166681640960 bytes (167 GB, 155 GiB) copied, 38 s, 4.4 GB/s
171077271552 bytes (171 GB, 159 GiB) copied, 39 s, 4.4 GB/s
175439347712 bytes (175 GB, 163 GiB) copied, 40 s, 4.4 GB/s
179851755520 bytes (180 GB, 168 GiB) copied, 41 s, 4.4 GB/s
184230608896 bytes (184 GB, 172 GiB) copied, 42 s, 4.4 GB/s
188441690112 bytes (188 GB, 176 GiB) copied, 43 s, 4.4 GB/s
192753434624 bytes (193 GB, 180 GiB) copied, 44 s, 4.4 GB/s
197115510784 bytes (197 GB, 184 GiB) copied, 45 s, 4.4 GB/s
201511141376 bytes (202 GB, 188 GiB) copied, 46 s, 4.4 GB/s
205906771968 bytes (206 GB, 192 GiB) copied, 47 s, 4.4 GB/s
210285625344 bytes (210 GB, 196 GiB) copied, 48 s, 4.4 GB/s
214664478720 bytes (215 GB, 200 GiB) copied, 49 s, 4.4 GB/s
219060109312 bytes (219 GB, 204 GiB) copied, 50 s, 4.4 GB/s
223455739904 bytes (223 GB, 208 GiB) copied, 51 s, 4.4 GB/s
227817816064 bytes (228 GB, 212 GiB) copied, 52 s, 4.4 GB/s
232213446656 bytes (232 GB, 216 GiB) copied, 53 s, 4.4 GB/s
236609077248 bytes (237 GB, 220 GiB) copied, 54 s, 4.4 GB/s
240971153408 bytes (241 GB, 224 GiB) copied, 55 s, 4.4 GB/s
245366784000 bytes (245 GB, 229 GiB) copied, 56 s, 4.4 GB/s
249762414592 bytes (250 GB, 233 GiB) copied, 57 s, 4.4 GB/s
