db,overall_RunTimems,overall_Throughputops/sec,read_50thPercentileLatencyus,read_95thPercentileLatencyus,read_99.99PercentileLatencyus,read_99.9PercentileLatencyus,read_99thPercentileLatencyus,read_AverageLatencyus,read_MaxLatencyus,read_MinLatencyus,read_Operations,read_Return=OK,threads,update_50thPercentileLatencyus,update_95thPercentileLatencyus,update_99.99PercentileLatencyus,update_99.9PercentileLatencyus,update_99thPercentileLatencyus,update_AverageLatencyus,update_MaxLatencyus,update_MinLatencyus,update_Operations,update_Return=OK,workload
keylane,509,196463.65422396857,407,730,10015,6027,2345,480.751248152734,10255,194,50074,50074,128,431,873,10295,5839,2565,518.5198493770781,10383,237,49926,49926,A
keylane,604,165562.91390728476,560,1750,75583,38911,3995,857.8665765246267,78719,222,50291,50291,256,735,2305,74047,33087,4711,1066.952262165805,77055,249,49709,49709,A
keylane,670,149253.73134328358,656,3147,67007,56735,6451,1167.9107407853046,85375,210,49866,49866,512,1219,4231,75327,60063,9151,1899.6815534367895,84479,242,50134,50134,A
keylane,694,144092.21902017292,341,465,10391,4043,942,370.2794155805273,10543,208,50101,50101,64,357,496,7235,4203,1133,391.3242349546083,7547,222,49899,49899,A
keylane,534,187265.91760299625,433,981,13287,8311,2593,534.0585307857414,20991,226,95044,95044,128,442,1092,12887,10047,3173,566.7929782082324,12887,247,4956,4956,B
keylane,443,225733.6343115124,520,1190,10647,8935,2847,638.4681182614555,14559,228,94976,94976,256,556,1399,10471,9263,3955,711.2858280254777,10471,257,5024,5024,B
keylane,1167,85689.8029134533,2607,5899,236287,123007,11095,3171.5075774330458,291327,241,94953,94953,512,3171,8759,282623,156543,15055,4214.372498513969,282623,262,5047,5047,B
keylane,686,145772.5947521866,341,467,10119,3173,871,368.78378349907297,10495,187,94928,94928,64,364,507,10415,5719,1291,406.033714511041,10415,243,5072,5072,B
keylane,498,200803.2128514056,408,882,20015,9175,1922,500.64879,23487,227,100000,100000,128,,,,,,,,,,,C
keylane,1128,88652.48226950354,1806,3583,124543,63871,6311,2017.50213,132095,226,100000,100000,256,,,,,,,,,,,C
keylane,512,195312.5,686,1906,49119,30655,4547,972.59285,51071,231,100000,100000,512,,,,,,,,,,,C
keylane,675,148148.14814814815,345,461,11759,2979,775,368.91784,12055,188,100000,100000,64,,,,,,,,,,,C
keylane,546,183150.18315018315,417,966,26879,9311,2765,534.5895733898072,37151,229,94911,94911,128,,,,,,,,,,,D
keylane,528,189393.9393939394,639,1524,35071,29839,3921,839.2989228290742,36511,228,94971,94971,256,,,,,,,,,,,D
keylane,693,144300.1443001443,949,2473,53471,41311,4991,1248.7046241254143,56319,232,95045,95045,512,,,,,,,,,,,D
keylane,652,153374.23312883437,337,455,8639,2995,973,364.88154238073184,9735,217,94996,94996,64,,,,,,,,,,,D
aerospike,478,209205.02092050208,402,741,20207,11495,1984,485.178654662072,33279,179,50203,50203,128,307,647,13087,3785,1709,373.4204269333494,22271,157,49797,49797,A
aerospike,648,154320.98765432098,541,1534,54367,23487,3225,754.4052217956706,58687,179,49753,49753,256,465,1468,7751,4843,2935,625.9988855056023,18927,159,50247,50247,A
aerospike,1076,92936.8029739777,1141,3939,246015,121535,7219,1905.8224561403508,273919,205,49875,49875,512,1862,4855,71231,45727,7863,2202.4944239401498,260479,169,50125,50125,A
aerospike,608,164473.68421052632,318,462,4815,3535,865,347.0716044933021,7319,180,49941,49941,64,236,383,5055,3043,797,266.15074212429334,6663,156,50059,50059,A
aerospike,543,184162.06261510128,404,749,14207,8083,2111,482.2184934966536,20511,169,95028,95028,128,314,683,16479,6003,1838,383.83467417538213,16479,161,4972,4972,B
aerospike,740,135135.13513513515,597,1593,29967,20415,3379,790.8255419911598,52863,195,95020,95020,256,522,1605,7991,5307,3447,685.813453815261,7991,181,4980,4980,B
aerospike,1273,78554.59544383346,2014,4975,169599,92479,9159,2551.182961776729,181759,190,94916,94916,512,2235,6047,81663,30095,9191,2645.451809598741,81663,175,5084,5084,B
aerospike,686,145772.5947521866,319,451,5691,4107,795,345.95614275186864,7079,163,94990,94990,64,240,368,4227,2947,723,267.3992015968064,4227,159,5010,5010,B
aerospike,604,165562.91390728476,404,808,27343,12407,2393,505.33436,29711,169,100000,100000,128,,,,,,,,,,,C
aerospike,631,158478.60538827258,666,1773,94207,37503,4069,943.54447,107455,201,100000,100000,256,,,,,,,,,,,C
aerospike,1221,81900.0819000819,705,2651,117055,89087,6515,1369.72934,176767,187,100000,100000,512,,,,,,,,,,,C
aerospike,724,138121.54696132598,330,462,6383,3691,886,356.97281,9143,169,100000,100000,64,,,,,,,,,,,C
aerospike,553,180831.82640144665,409,1030,9527,8303,2113,510.1212108449592,12215,179,94975,94975,128,,,,,,,,,,,D
aerospike,650,153846.15384615384,538,1536,46783,20335,3465,755.412369290328,48031,179,95058,95058,256,,,,,,,,,,,D
aerospike,959,104275.28675703859,635,2111,64319,26975,3685,938.6345554479215,69375,176,94972,94972,512,,,,,,,,,,,D
aerospike,681,146842.87812041116,318,437,5351,3237,667,340.3439088832514,6695,178,94999,94999,64,,,,,,,,,,,D
