mode,workload,target,operation,qps,mean_us,max_us,successes,raw_log,p99_ms,p999_ms,p9999_ms
aerospike,C,100000,READ,99882.14805902097,296.50055695260414,57791,29967541,fresh100m-20260916-aerospike-c-c256-target100000-measured.log,0.448,0.564,1.37
aerospike,C,0,READ,445697.725803334,571.77789833118,209023,133736951,fresh100m-20260916-aerospike-c-c256-measured.log,1.201,2.623,4.735
aerospike,A,100000,READ,49958.71093320357,299.03833082863474,539135,14989162,fresh100m-20260916-aerospike-a-c256-target100000-measured.log,0.439,0.726,1.516
aerospike,A,100000,UPDATE,49946.282217504195,223.71249953204554,539135,14985433,fresh100m-20260916-aerospike-a-c256-target100000-measured.log,0.361,0.551,1.366
aerospike,A,0,READ,244910.80010932093,590.5988832410175,82815,73481567,fresh100m-20260916-aerospike-a-c256-measured.log,1.331,3.427,5.599
aerospike,A,0,UPDATE,244908.25373124378,447.3909275868964,245887,73480803,fresh100m-20260916-aerospike-a-c256-measured.log,1.121,2.089,3.407
aerospike,B,100000,READ,94877.50286613166,292.28484460965433,22767,28468564,fresh100m-20260916-aerospike-b-c256-target100000-measured.log,0.447,0.595,1.359
aerospike,B,100000,UPDATE,4996.210707334631,222.26855610171944,26031,1499143,fresh100m-20260916-aerospike-b-c256-target100000-measured.log,0.373,0.498,1.288
aerospike,B,0,READ,423237.87240992003,578.2599710312485,161023,126987868,fresh100m-20260916-aerospike-b-c256-measured.log,1.285,2.793,4.323
aerospike,B,0,UPDATE,22277.09397778289,455.3661399010203,59711,6683997,fresh100m-20260916-aerospike-b-c256-measured.log,1.093,1.843,3.321
aerospike,D,100000,INSERT,4992.827455646546,222.90854418486356,4783,1498013,fresh100m-20260916-aerospike-d-c256-target100000-measured.log,0.373,0.485,1.269
aerospike,D,100000,READ,94917.80570803878,290.41032841155743,24751,28478474,fresh100m-20260916-aerospike-d-c256-target100000-measured.log,0.434,0.555,1.371
aerospike,D,0,INSERT,22432.100575938566,451.69894038168604,102847,6730348,fresh100m-20260916-aerospike-d-c256-measured.log,1.037,1.69,2.271
aerospike,D,0,READ,426400.2673048208,574.2072633154393,118975,127933725,fresh100m-20260916-aerospike-d-c256-measured.log,1.216,2.623,4.635
hreplace,C,100000,READ,99955.66011643135,310.1441361412203,34367,29995794,fresh100m-20260916-hreplace-c-c256-target100000-measured.log,0.469,0.638,1.317
hreplace,C,0,READ,550586.5109675871,463.15897662142476,74815,165212292,fresh100m-20260916-hreplace-c-c256-measured.log,0.74,2.719,4.411
hreplace,A,100000,READ,49988.76445688764,303.3079305425363,28159,14998129,fresh100m-20260916-hreplace-a-c256-target100000-measured.log,0.467,0.797,1.268
hreplace,A,100000,UPDATE,49974.54921174549,226.10860702751472,29983,14993864,fresh100m-20260916-hreplace-a-c256-target100000-measured.log,0.378,0.668,1.502
hreplace,A,0,READ,255554.55948171575,572.5542092176556,207103,76683490,fresh100m-20260916-hreplace-a-c256-measured.log,2.475,4.603,6.207
hreplace,A,0,UPDATE,255614.78936370878,424.15774807613764,207103,76701563,fresh100m-20260916-hreplace-a-c256-measured.log,1.666,3.185,4.811
hreplace,B,100000,READ,94973.38679305023,300.99137951243205,41695,28495720,fresh100m-20260916-hreplace-b-c256-target100000-measured.log,0.465,0.929,1.317
hreplace,B,100000,UPDATE,4999.486733391326,230.1108229708388,23423,1500041,fresh100m-20260916-hreplace-b-c256-target100000-measured.log,0.38,0.718,1.257
hreplace,B,0,READ,513099.72571512364,477.1663458457184,54047,153957112,fresh100m-20260916-hreplace-b-c256-measured.log,0.818,2.937,4.643
hreplace,B,0,UPDATE,27002.356250395762,373.5298692764799,42815,8102138,fresh100m-20260916-hreplace-b-c256-measured.log,0.656,1.979,3.879
hreplace,D,100000,INSERT,4995.940554790845,227.88223180054263,7379,1498987,fresh100m-20260916-hreplace-d-c256-target100000-measured.log,0.364,0.501,1.331
hreplace,D,100000,READ,94973.70692672001,296.7288267345255,58943,28496006,fresh100m-20260916-hreplace-d-c256-target100000-measured.log,0.425,0.559,1.275
hreplace,D,0,INSERT,26997.047276896108,377.3727417629001,232319,8100788,fresh100m-20260916-hreplace-d-c256-measured.log,0.639,2.311,4.291
hreplace,D,0,READ,513278.272490352,476.81605078793956,255231,154015305,fresh100m-20260916-hreplace-d-c256-measured.log,0.772,3.127,4.903
