round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
1,baseline,C,100000,READ,99728.73783309398,99728.73783309398,308.2641598,296,395,457,963,2095,33823,5000000,0,ae4a769e077dc07ee912b04ba3023a902afd6ff46a3f7e3b6d26e5fcc9545637,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,100000,Intended-READ,99728.73783309398,99728.73783309398,403.8033658,354,455,525,8519,70527,105407,5000000,0,ae4a769e077dc07ee912b04ba3023a902afd6ff46a3f7e3b6d26e5fcc9545637,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,0,READ,478560.4900459418,478560.4900459418,476.2850354,447,635,1106,3419,11055,106367,5000000,0,f7fc9196a6161b0c022e5e6123ad265d8f0abe894e39f01be6b3bbfc55ad6855,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,0,Intended-READ,478560.4900459418,478560.4900459418,476.321954,447,635,1106,3419,11055,106367,5000000,0,f7fc9196a6161b0c022e5e6123ad265d8f0abe894e39f01be6b3bbfc55ad6855,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,READ,99766.54628170082,49906.49879282479,319.14254163261586,295,380,661,3737,7515,46175,2501164,0,42ad275bdc1ba119d27ae189cc9b0234cd8b3de7411cc86dbfb21c106f2efe3f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,Intended-READ,99766.54628170082,49906.49879282479,593.9768519777192,354,444,1700,70527,137343,179839,2501164,0,42ad275bdc1ba119d27ae189cc9b0234cd8b3de7411cc86dbfb21c106f2efe3f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,UPDATE,99766.54628170082,49860.04748887603,333.1683843997765,302,393,1042,4175,7995,42751,2498836,0,42ad275bdc1ba119d27ae189cc9b0234cd8b3de7411cc86dbfb21c106f2efe3f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,Intended-UPDATE,99766.54628170082,49860.04748887603,609.8655886180605,361,455,1873,71231,144767,179327,2498836,0,42ad275bdc1ba119d27ae189cc9b0234cd8b3de7411cc86dbfb21c106f2efe3f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,READ,396825.3968253968,198380.2380952381,581.6988419305399,510,813,3003,6179,15935,45791,2499591,0,6e500acf6887722d439772213367a5436882f7087f16b92dff7a9e32a68e1c99,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,Intended-READ,396825.3968253968,198380.2380952381,581.7341245027686,510,813,3003,6179,15935,45791,2499591,0,6e500acf6887722d439772213367a5436882f7087f16b92dff7a9e32a68e1c99,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,UPDATE,396825.3968253968,198445.15873015873,601.2271352406747,521,853,3153,6207,16335,47263,2500409,0,6e500acf6887722d439772213367a5436882f7087f16b92dff7a9e32a68e1c99,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,Intended-UPDATE,396825.3968253968,198445.15873015873,601.26185116115,521,853,3153,6207,16335,47263,2500409,0,6e500acf6887722d439772213367a5436882f7087f16b92dff7a9e32a68e1c99,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,candidate,C,100000,READ,99792.43174197669,99792.43174197669,314.4433084,300,408,465,890,2437,38079,5000000,0,9793a06f6028045aa8c2c266f008df9c766ee9fc9e741abeb84e2191399ac2d4,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,C,100000,Intended-READ,99792.43174197669,99792.43174197669,404.666368,359,469,534,7659,59903,95743,5000000,0,9793a06f6028045aa8c2c266f008df9c766ee9fc9e741abeb84e2191399ac2d4,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,C,0,READ,476009.139375476,476009.139375476,469.6317816,446,630,960,3143,7531,30095,5000000,0,d90160d09c42b03b6beff80dc4eea8a05115179b7af613518b9276e58d898646,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,C,0,Intended-READ,476009.139375476,476009.139375476,469.6679066,446,630,960,3143,7531,30095,5000000,0,d90160d09c42b03b6beff80dc4eea8a05115179b7af613518b9276e58d898646,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
1,candidate,A,100000,READ,99812.35277677965,49898.79027428434,313.7502546376864,296,367,468,3503,6895,23487,2499630,0,7ec47ea227da05bf7f628c0432059d6c1037bd0546b538b367b77ad66810deb0,e7990c7d3c264a3196de3de8f769add768b5b9103ae158a09f67349359ea9b04
