round,workload,target,nic_worker_irqs,nic_housekeeping_irqs,softnet_dropped,softnet_time_squeeze,housekeeping_busy_pct,housekeeping_irq_softirq_pct,worker_busy_pct
1,C,100000,0,9590415,0,0,16.978999345588676,15.503599262299959,60.18402857193124
1,C,0,0,1922376,0,4542,45.614707008808885,42.703944848716965,88.20765107570307
1,A,100000,0,11513406,0,0,20.286947534804554,17.89774454374126,64.40660000706639
1,A,0,0,3487676,0,632,55.61886672997784,51.47198480531814,92.09530026109661
2,C,100000,0,9214948,0,0,15.97001499250375,14.500749625187407,60.88458758615827
2,C,0,0,1966067,0,5924,52.68981304845479,49.904616558565436,89.39142253095741
2,A,100000,0,11109239,0,0,17.957876585786423,15.574578150018475,62.943043554928586
2,A,0,0,3473719,0,752,54.59592843923504,49.87661937075879,91.19752369897466
3,C,100000,0,9784889,0,0,16.46746347941567,14.98249426536279,59.863993392960694
3,C,0,0,1793539,0,3999,48.22876653862569,44.81434058898848,90.17350035011282
3,A,100000,0,11542714,0,0,21.839492883626363,19.507235976557826,64.39028713222262
3,A,0,0,3498239,0,590,57.69927536231884,52.38526570048309,91.61738904412243
