round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256
1,aerospike,C,100000,READ,99498.52742179416,99498.52742179416,296.9837982,283,394,467,625,1595,25631,5000000,0,cddf00f60a0ecff7fa7b231c40c9f32fb57d87e7604c10bf3cf09508285b7a83
1,aerospike,C,100000,Intended-READ,99498.52742179416,99498.52742179416,378.7900058,342,455,538,4171,41023,67071,5000000,0,cddf00f60a0ecff7fa7b231c40c9f32fb57d87e7604c10bf3cf09508285b7a83
1,aerospike,C,0,READ,359634.61123498523,359634.61123498523,624.4156494,434,1556,4767,10071,20239,167935,5000000,0,4d37b7aad008abd1752f1cd55268906da89c26a98257a91ada426fda8f2f3990
1,aerospike,C,0,Intended-READ,359634.61123498523,359634.61123498523,624.4507846,434,1556,4767,10071,20239,167935,5000000,0,4d37b7aad008abd1752f1cd55268906da89c26a98257a91ada426fda8f2f3990
1,aerospike,A,100000,READ,99231.94474765316,49600.82957905809,291.1043670528245,281,371,435,571,2149,24591,2499237,0,18d8cceb2c0cc9e3752bbeaa8eb7bf42f8350b517765d08a76a9ed09e8724e8f
1,aerospike,A,100000,Intended-READ,99231.94474765316,49600.82957905809,351.7693063923109,339,431,502,1626,5023,54303,2499237,0,18d8cceb2c0cc9e3752bbeaa8eb7bf42f8350b517765d08a76a9ed09e8724e8f
1,aerospike,A,100000,UPDATE,99231.94474765316,49631.115168595075,214.17449314469224,205,291,353,479,1620,21727,2500763,0,18d8cceb2c0cc9e3752bbeaa8eb7bf42f8350b517765d08a76a9ed09e8724e8f
1,aerospike,A,100000,Intended-UPDATE,99231.94474765316,49631.115168595075,275.0217025763737,263,351,420,1452,4719,56031,2500763,0,18d8cceb2c0cc9e3752bbeaa8eb7bf42f8350b517765d08a76a9ed09e8724e8f
1,aerospike,A,0,READ,428192.172647084,214108.24698124517,589.8918217445249,461,891,3469,14407,30527,143615,2500142,0,dbbc827764f8109e98d1465b8f092cceba166430139b8d93b310abaa81f6caca
1,aerospike,A,0,Intended-READ,428192.172647084,214108.24698124517,589.9332433917754,461,891,3469,14407,30527,143615,2500142,0,dbbc827764f8109e98d1465b8f092cceba166430139b8d93b310abaa81f6caca
1,aerospike,A,0,UPDATE,428192.172647084,214083.92566583882,464.5913915910424,349,747,2913,13015,28527,146303,2499858,0,dbbc827764f8109e98d1465b8f092cceba166430139b8d93b310abaa81f6caca
1,aerospike,A,0,Intended-UPDATE,428192.172647084,214083.92566583882,464.63183268809667,349,747,2913,13015,28527,146303,2499858,0,dbbc827764f8109e98d1465b8f092cceba166430139b8d93b310abaa81f6caca
2,aerospike,C,100000,READ,99453.00845350572,99453.00845350572,297.8500738,284,396,474,635,2335,51551,5000000,0,573ea3a4d4f39b463f55dac036f8e4c98e25b7f4064d6ca6f946e57debab9cba
2,aerospike,C,100000,Intended-READ,99453.00845350572,99453.00845350572,373.348638,343,456,546,2609,49023,115199,5000000,0,573ea3a4d4f39b463f55dac036f8e4c98e25b7f4064d6ca6f946e57debab9cba
2,aerospike,C,0,READ,363345.6870866943,363345.6870866943,627.6169634,428,1606,5039,10399,21231,110335,5000000,0,ac6c7877edfd4b8c528fd1e633ea3f4aff156033b5c32fd24312341e4d8b69f6
2,aerospike,C,0,Intended-READ,363345.6870866943,363345.6870866943,627.6515774,428,1606,5039,10399,21231,110335,5000000,0,ac6c7877edfd4b8c528fd1e633ea3f4aff156033b5c32fd24312341e4d8b69f6
2,aerospike,A,100000,READ,99316.70109645638,49677.260448116955,292.8470362485965,282,376,442,586,1561,40095,2500952,0,31b79c94e0c7eb35c27b0a2e9c5dc23a6cd750eda88770cd51d086d49d026d2a
2,aerospike,A,100000,Intended-READ,99316.70109645638,49677.260448116955,355.2826423697856,340,435,508,1430,17679,59775,2500952,0,31b79c94e0c7eb35c27b0a2e9c5dc23a6cd750eda88770cd51d086d49d026d2a
2,aerospike,A,100000,UPDATE,99316.70109645638,49639.44064833943,215.7169742237844,205,296,359,487,1396,35295,2499048,0,31b79c94e0c7eb35c27b0a2e9c5dc23a6cd750eda88770cd51d086d49d026d2a
2,aerospike,A,100000,Intended-UPDATE,99316.70109645638,49639.44064833943,278.73757006668137,263,355,426,1358,17391,54143,2499048,0,31b79c94e0c7eb35c27b0a2e9c5dc23a6cd750eda88770cd51d086d49d026d2a
2,aerospike,A,0,READ,434480.36148766073,217205.33541883907,585.5630835185964,465,916,3149,12447,28831,234111,2499599,0,f6b2ec7918d56a05ec0de8d5540dd2075c75c076fb5096abeb9f323bd51ffad5
2,aerospike,A,0,Intended-READ,434480.36148766073,217205.33541883907,585.6037548422767,465,916,3149,12447,28831,234111,2499599,0,f6b2ec7918d56a05ec0de8d5540dd2075c75c076fb5096abeb9f323bd51ffad5
2,aerospike,A,0,UPDATE,434480.36148766073,217275.0260688217,461.43659956942906,353,780,2613,11039,24799,194431,2500401,0,f6b2ec7918d56a05ec0de8d5540dd2075c75c076fb5096abeb9f323bd51ffad5
2,aerospike,A,0,Intended-UPDATE,434480.36148766073,217275.0260688217,461.47926392606627,353,780,2613,11039,24799,194431,2500401,0,f6b2ec7918d56a05ec0de8d5540dd2075c75c076fb5096abeb9f323bd51ffad5
3,aerospike,C,100000,READ,98728.37848511177,98728.37848511177,297.4843986,284,391,476,845,2601,79999,5000000,0,42e4fda225488f1cc3a6a4195d19f2a3183477004516fce8e28adcc2bd0c0891
3,aerospike,C,100000,Intended-READ,98728.37848511177,98728.37848511177,504.302494,342,453,558,54431,223359,291839,5000000,0,42e4fda225488f1cc3a6a4195d19f2a3183477004516fce8e28adcc2bd0c0891
3,aerospike,C,0,READ,364298.72495446267,364298.72495446267,625.2403502,432,1514,4843,11239,23775,131711,5000000,0,e32974b970f2693c5a30551ed35b1ef142c07894ed909d5160416384202e4fd7
3,aerospike,C,0,Intended-READ,364298.72495446267,364298.72495446267,625.2761274,432,1514,4843,11239,23775,131711,5000000,0,e32974b970f2693c5a30551ed35b1ef142c07894ed909d5160416384202e4fd7
3,aerospike,A,100000,READ,99275.29038022437,49585.64479301102,291.5832005609076,281,374,442,587,1508,36255,2497381,0,da4411d87fbd59d73d6fcfd38413620ef854356654dbafcb7783e59b24c90790
3,aerospike,A,100000,Intended-READ,99275.29038022437,49585.64479301102,362.5686729417738,339,434,509,1366,46431,116351,2497381,0,da4411d87fbd59d73d6fcfd38413620ef854356654dbafcb7783e59b24c90790
3,aerospike,A,100000,UPDATE,99275.29038022437,49689.645587213345,214.8390625980223,205,294,362,501,1419,35263,2502619,0,da4411d87fbd59d73d6fcfd38413620ef854356654dbafcb7783e59b24c90790
3,aerospike,A,100000,Intended-UPDATE,99275.29038022437,49689.645587213345,284.94928912471295,263,354,428,1257,42143,114239,2502619,0,da4411d87fbd59d73d6fcfd38413620ef854356654dbafcb7783e59b24c90790
3,aerospike,A,0,READ,442517.0369059209,221177.89184883618,583.5859975375026,461,856,3379,13639,32831,139775,2499089,0,b957146751b2777a1bc7e9bdaa1f6e9fd46fccbdb4ca216e517c56de6fd2e99e
3,aerospike,A,0,Intended-READ,442517.0369059209,221177.89184883618,583.628008046132,461,856,3379,13639,32831,139775,2499089,0,b957146751b2777a1bc7e9bdaa1f6e9fd46fccbdb4ca216e517c56de6fd2e99e
3,aerospike,A,0,UPDATE,442517.0369059209,221339.1450570847,457.49202590575993,350,710,2793,12159,27951,123903,2500911,0,b957146751b2777a1bc7e9bdaa1f6e9fd46fccbdb4ca216e517c56de6fd2e99e
3,aerospike,A,0,Intended-UPDATE,442517.0369059209,221339.1450570847,457.5342913042487,350,710,2793,12159,27951,123903,2500911,0,b957146751b2777a1bc7e9bdaa1f6e9fd46fccbdb4ca216e517c56de6fd2e99e
