round,variant,workload,target,qps,runtime_ms,jvm_gc_count,jvm_gc_ms,defrag_completed,defrag_active_before,defrag_active_after
1,baseline,C,100000,99804.38340851931,50098,91,69,0.0,0.0,0.0
1,baseline,C,0,472098.9519403267,10591,75,67,0.0,0.0,0.0
1,baseline,A,100000,99800.39920159681,50100,137,103,468.0,0.0,0.0
1,baseline,A,0,453720.5081669692,11020,92,91,460.0,0.0,0.0
1,candidate,C,100000,99806.37563127532,50097,91,68,0.0,0.0,0.0
1,candidate,C,0,476871.72150691465,10485,75,64,0.0,0.0,0.0
1,candidate,A,100000,99754.6036749596,50123,136,107,462.0,0.0,0.0
1,candidate,A,0,445791.72610556346,11216,69,72,492.0,0.0,0.0
2,baseline,C,100000,99798.40721742081,50101,91,67,0.0,0.0,0.0
2,baseline,C,0,488663.01798279904,10232,75,72,0.0,0.0,0.0
2,baseline,A,100000,99794.42348761551,50103,136,111,458.0,0.0,0.0
2,baseline,A,0,444879.4376723908,11239,88,91,463.0,0.0,0.0
2,candidate,C,100000,99776.5006385696,50112,91,71,0.0,0.0,0.0
2,candidate,C,0,492368.29148202855,10155,75,71,0.0,0.0,0.0
2,candidate,A,100000,99812.35277677965,50094,136,104,467.0,0.0,0.0
2,candidate,A,0,430329.6324984938,11619,93,106,475.0,0.0,0.0
3,baseline,C,100000,99790.44007584073,50105,91,75,0.0,0.0,0.0
3,baseline,C,0,486760.1246105919,10272,70,67,0.0,0.0,0.0
3,baseline,A,100000,99788.44848920288,50106,136,111,445.0,0.0,0.0
3,baseline,A,0,441462.12254988524,11326,85,99,490.0,0.0,0.0
3,candidate,C,100000,99774.50960828527,50113,91,83,0.0,0.0,0.0
3,candidate,C,0,472143.5316336166,10590,58,65,0.0,0.0,0.0
3,candidate,A,100000,99818.3306382384,50091,136,104,452.0,0.0,0.0
3,candidate,A,0,444483.95412925596,11249,93,94,476.0,0.0,0.0
