round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
1,baseline,C,100000,READ,99804.38340851931,99804.38340851931,317.609845,300,431,535,819,1723,41119,5000000,0,3acb65c2f98c92ab82d89ee04268658f65f0284c4a68e1f13d7503b2ad0411af,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,100000,Intended-READ,99804.38340851931,99804.38340851931,421.0754296,359,491,610,17295,72255,104703,5000000,0,3acb65c2f98c92ab82d89ee04268658f65f0284c4a68e1f13d7503b2ad0411af,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,0,READ,472098.9519403267,472098.9519403267,470.4076924,450,630,813,2967,7747,51743,5000000,0,79a08b2271258c1f7b02ec68970989216253e75629306a34c5d4cc19e1a4d373,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,0,Intended-READ,472098.9519403267,472098.9519403267,470.4450622,450,630,813,2967,7747,51743,5000000,0,79a08b2271258c1f7b02ec68970989216253e75629306a34c5d4cc19e1a4d373,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,READ,99800.39920159681,49925.76846307385,319.10969379290054,296,384,696,3643,7359,36287,2501281,0,70f846529ec68d833ad9617a880fada4618ccdd548c2515dbb296544242ec6d3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,Intended-READ,99800.39920159681,49925.76846307385,433.6629634975039,355,446,1142,20591,72383,113279,2501281,0,70f846529ec68d833ad9617a880fada4618ccdd548c2515dbb296544242ec6d3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,UPDATE,99800.39920159681,49874.63073852295,236.58056428113767,218,303,490,2571,5351,37471,2498719,0,70f846529ec68d833ad9617a880fada4618ccdd548c2515dbb296544242ec6d3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,Intended-UPDATE,99800.39920159681,49874.63073852295,351.846997201366,277,366,911,21615,73087,112511,2498719,0,70f846529ec68d833ad9617a880fada4618ccdd548c2515dbb296544242ec6d3,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,READ,453720.5081669692,226945.0998185118,594.2898108107568,501,901,3389,6095,11799,31071,2500935,0,4167bb5a857ed881f16ac7468b9637c31538e5374d9564ca1b033a30509e478c,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,Intended-READ,453720.5081669692,226945.0998185118,594.3266182447765,501,901,3389,6095,11799,31071,2500935,0,4167bb5a857ed881f16ac7468b9637c31538e5374d9564ca1b033a30509e478c,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,UPDATE,453720.5081669692,226775.40834845736,443.7445344558865,376,667,2423,5171,10519,29759,2499065,0,4167bb5a857ed881f16ac7468b9637c31538e5374d9564ca1b033a30509e478c,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,Intended-UPDATE,453720.5081669692,226775.40834845736,443.7819740582978,376,667,2423,5171,10519,29759,2499065,0,4167bb5a857ed881f16ac7468b9637c31538e5374d9564ca1b033a30509e478c,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,candidate,C,100000,READ,99806.37563127532,99806.37563127532,310.6581668,297,402,470,735,1795,37887,5000000,0,a8f670e2a3b6db536e2e41d714a8a4378d2c37cc4824c90f02d6974b6765426b,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,C,100000,Intended-READ,99806.37563127532,99806.37563127532,408.307261,357,462,546,13663,63519,95103,5000000,0,a8f670e2a3b6db536e2e41d714a8a4378d2c37cc4824c90f02d6974b6765426b,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,C,0,READ,476871.72150691465,476871.72150691465,472.4176544,449,634,901,3131,6747,81983,5000000,0,a720c6dfe30c1a0fc610a6fc5c188f49d67d98a8421a496bcee17ecc337d7038,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,C,0,Intended-READ,476871.72150691465,476871.72150691465,472.4537602,449,634,901,3131,6747,81983,5000000,0,a720c6dfe30c1a0fc610a6fc5c188f49d67d98a8421a496bcee17ecc337d7038,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,100000,READ,99754.6036749596,49897.57197294655,322.01172523486457,299,395,629,3685,7247,18015,2501016,0,651a270cbf5e3e22a01dcaefa6c87d5611b5a4cf777161cd105d6e11d54b8c62,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,100000,Intended-READ,99754.6036749596,49897.57197294655,409.01849528351676,357,458,1009,6303,59679,94655,2501016,0,651a270cbf5e3e22a01dcaefa6c87d5611b5a4cf777161cd105d6e11d54b8c62,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,100000,UPDATE,99754.6036749596,49857.031702013046,238.3084169406447,220,316,478,2447,4049,13639,2498984,0,651a270cbf5e3e22a01dcaefa6c87d5611b5a4cf777161cd105d6e11d54b8c62,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,100000,Intended-UPDATE,99754.6036749596,49857.031702013046,327.1092752094451,279,378,751,4443,62815,96831,2498984,0,651a270cbf5e3e22a01dcaefa6c87d5611b5a4cf777161cd105d6e11d54b8c62,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,READ,445791.72610556346,222906.11626248216,596.8567657887737,502,915,3433,6043,13855,44255,2500115,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,Intended-READ,445791.72610556346,222906.11626248216,596.894025674819,502,916,3433,6043,13855,44255,2500115,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,UPDATE,445791.72610556346,222885.6098430813,441.84898425327566,376,675,2369,5135,13623,52863,2499885,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
1,candidate,A,0,Intended-UPDATE,445791.72610556346,222885.6098430813,441.88703240349054,376,675,2369,5135,13623,52863,2499885,0,f230f971869aede2a300c0a5f9e8a642691301cb81402843a92eef54c4648f8d,e41c8c9259b6b036a69369dcc58f280d43128852eac1477639304cc00089bf65
2,baseline,C,100000,READ,99798.40721742081,99798.40721742081,312.1537472,298,407,473,720,1683,37631,5000000,0,b6a9025e2e6b42a31caafc03ab85e21277ca8bdec949bbc07ec10ec0e2ec2952,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,100000,Intended-READ,99798.40721742081,99798.40721742081,409.1069474,358,468,542,13503,63583,90623,5000000,0,b6a9025e2e6b42a31caafc03ab85e21277ca8bdec949bbc07ec10ec0e2ec2952,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
2,baseline,C,0,READ,488663.01798279904,488663.01798279904,472.294962,447,620,998,3325,9287,66303,5000000,0,246ee5cb1003a22df1720e99b0617533588580c3ea6e8ea9804061320b669f00,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
