round,variant,workload,target,qps,runtime_ms,jvm_gc_count,jvm_gc_ms,defrag_completed,defrag_active_before,defrag_active_after
1,baseline,C,100000,99788.44848920288,50106,91,68,0.0,0.0,0.0
1,baseline,C,0,479064.8653827728,10437,75,70,0.0,0.0,0.0
1,baseline,A,100000,99804.38340851931,50098,136,114,452.0,0.0,0.0
1,baseline,A,0,440917.10758377425,11340,93,96,533.0,0.0,0.0
1,candidate,C,100000,99814.34531770906,50093,91,72,0.0,0.0,0.0
1,candidate,C,0,482625.4826254826,10360,47,53,0.0,0.0,0.0
1,candidate,A,100000,99786.4569820584,50107,136,102,842.0,0.0,0.0
1,candidate,A,0,424520.29206996097,11778,94,90,1112.0,0.0,0.0
2,baseline,C,100000,99842.24924619102,50079,91,71,0.0,0.0,0.0
2,baseline,C,0,496277.91563275433,10075,75,76,0.0,0.0,0.0
2,baseline,A,100000,99706.86182623089,50147,136,99,1976.0,6.0,0.0
2,baseline,A,0,403779.37494952756,12383,111,101,2006.0,8.0,8.0
2,candidate,C,100000,99768.53699417351,50116,91,74,24.0,1.0,0.0
2,candidate,C,0,465506.0050274649,10741,73,82,0.0,0.0,0.0
2,candidate,A,100000,99776.5006385696,50112,136,104,1198.0,0.0,0.0
2,candidate,A,0,440761.63610719325,11344,93,94,715.0,0.0,0.0
3,baseline,C,100000,99804.38340851931,50098,91,70,0.0,0.0,0.0
3,baseline,C,0,472902.6766291497,10573,75,74,0.0,0.0,0.0
3,baseline,A,100000,99812.35277677965,50094,136,110,715.0,0.0,0.0
3,baseline,A,0,436719.3641366058,11449,91,88,687.0,0.0,0.0
3,candidate,C,100000,99796.41531276196,50102,91,69,0.0,0.0,0.0
3,candidate,C,0,488090.58961343224,10244,67,70,0.0,0.0,0.0
3,candidate,A,100000,99744.65368656241,50128,136,98,678.0,4.0,0.0
3,candidate,A,0,443301.711144605,11279,94,86,698.0,0.0,0.0
