round,variant,workload,target,histogram,total_qps,op_qps,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,count,failed,log_sha256,binary_sha256
1,baseline,C,100000,READ,99788.44848920288,99788.44848920288,310.3076066,297,404,471,673,1608,33663,5000000,0,5ae5ec4f0a799d3ec09f814f19972263b31f0fd541945be27c3af1361891688f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,100000,Intended-READ,99788.44848920288,99788.44848920288,397.5069972,356,465,543,5395,52927,82751,5000000,0,5ae5ec4f0a799d3ec09f814f19972263b31f0fd541945be27c3af1361891688f,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,0,READ,479064.8653827728,479064.8653827728,465.772743,444,625,820,3225,6259,41439,5000000,0,cd7a1efe97ef65345a4f611e7db036f266d235d498aae763cda5b6b4f3435e78,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,C,0,Intended-READ,479064.8653827728,479064.8653827728,465.8110426,444,626,820,3225,6259,41439,5000000,0,cd7a1efe97ef65345a4f611e7db036f266d235d498aae763cda5b6b4f3435e78,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,READ,99804.38340851931,49913.828895365084,342.8814528451965,297,392,934,6143,49279,87487,2500583,0,1141faacf7664cb79c2b4e5caed8433a6e8b931785ef6f82e81f160e7a40247a,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,Intended-READ,99804.38340851931,49913.828895365084,565.2766142935468,356,459,3131,47711,83327,107903,2500583,0,1141faacf7664cb79c2b4e5caed8433a6e8b931785ef6f82e81f160e7a40247a,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,UPDATE,99804.38340851931,49890.55451315422,244.7601484666224,218,310,677,3843,6403,27279,2499417,0,1141faacf7664cb79c2b4e5caed8433a6e8b931785ef6f82e81f160e7a40247a,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,100000,Intended-UPDATE,99804.38340851931,49890.55451315422,465.27823368409514,278,376,2125,45983,82047,107839,2499417,0,1141faacf7664cb79c2b4e5caed8433a6e8b931785ef6f82e81f160e7a40247a,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,READ,440917.10758377425,220304.49735449735,609.995598123969,502,942,3469,6303,53663,62335,2498253,0,f06b1ce887044ae99fa72e8342956d3173b21a295f84f6de97a1e57ff62aafeb,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
1,baseline,A,0,Intended-READ,440917.10758377425,220304.49735449735,610.0319623352799,502,942,3469,6303,53663,62335,2498253,0,f06b1ce887044ae99fa72e8342956d3173b21a295f84f6de97a1e57ff62aafeb,8ded8812356d872eabb05bcd0ff828dcf8185771c50ef1d3b566d5d48403ab1d
