# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 56K of event 'cpu-clock:u'
# Event count (approx.): 284105492125
#
# Overhead|Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |IPC   [IPC Coverage]
 13.63% |[.] celer::Worker::RunOnce(bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
 8.00%  |[.] keylane::storage::ScanHashMap<keylane::storage::RecordLocation, 32u, keylane::storage::RecordIndexEntryPolicy>::Find(keylane::storage::Digest const&, std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |-      -            
 3.58%  |[.] absl::lts_20250512::crc_internal::(anonymous namespace)::CRC32AcceleratedX86ARMCombinedMultipleStreams<3ul, 0ul, (absl::lts_20250512::crc_internal::(anonymous namespace)::CutoffStrategy)0>::Extend(unsigned int*, void const*, unsigned long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |-      -            
 3.29%  |[.] _mi_theap_malloc_zero.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 3.28%  |[.] keylane::storage::StorageEngine::Impl::ExecuteHashLikeLocked(keylane::storage::StorageEngine::Impl::ExecuteHashLikeLocked(unsigned char, std::basic_string_view<char, std::char_traits<char> >, keylane::storage::Digest const&, keylane::storage::HashOperation const&, keylane::storage::ValueType, keylane::storage::TxShardWrites*, keylane::storage::ReplicationCommandAppend*, keylane::storage::MutationPrecondition const*)::_ZN7keylane7storage13StorageEngine4Impl21ExecuteHashLikeLockedEhSt17basic_string_viewIcSt11char_traitsIcEERKNS0_6DigestERKNS0_13HashOperationENS0_9ValueTypeEPNS0_13TxShardWritesEPNS0_24ReplicationCommandAppendEPKNS0_20MutationPreconditionE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 3.26%  |[.] keylane::RespCommandParser::Parse(std::basic_string_view<char, std::char_traits<char> >)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |-      -            
 2.44%  |[.] celer::Worker::DrainCrossCore()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 2.42%  |[.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |-      -            
 1.96%  |[.] _ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedEPZNS2_17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionEE514_ZN7keylane7storage13StorageEngine4Impl17WriteRecordLockedERNS2_11WorkerStoreEhSt17basic_string_viewIcSt11char_traitsIcEES8_NS0_10RecordKindENS0_9ValueTypeEmRKNS0_6DigestEmmbbbbmSt10shared_ptrIKSt6vectorINS0_9ExtentRefESaISG_EEEPNS0_14RecordLocationEPKNS0_16RelocationSourceEPNS0_13TxShardWritesESt10unique_ptrISF_INS0_13RetiredRecordESaIST_EESt14default_deleteISV_EEPNS_15SetLatencyTraceEPKNS2_17ExplicitWriteRootEPNS0_9TxUndoLogEPNS3_14PartitionStoreEPKNS2_16GroupRecordWriteEbPKNS0_20MutationPreconditionE.Frame.actor.lto_priv.0                                                                                                                                                                                                                                                                                                                                                                          |-      -            
 1.85%  |[.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |-      -            
 1.74%  |[.] keylane::storage::DecodeRecordHeader(std::span<std::byte const, 18446744073709551615ul>, keylane::storage::RecordHeader*, std::basic_string_view<char, std::char_traits<char> >*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |-      -            
 1.57%  |[.] keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::(anonymous namespace)::ExecuteHashCommandImpl(keylane::CommandRequest const&, keylane::storage::Digest const*, keylane::storage::TxShardWrites*, keylane::ReplyBuilder&)::_ZN7keylane12_GLOBAL__N_122ExecuteHashCommandImplERKNS_14CommandRequestEPKNS_7storage6DigestEPNS4_13TxShardWritesERNS_12ReplyBuilderE.Frame*) [clone .actor]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |-      -            
 1.51%  |[.] keylane::(anonymous namespace)::RedisService::Serve(keylane::(anonymous namespace)::RedisService::Serve(celer::TcpStream&, keylane::ConnectionContext&)::_ZN7keylane12_GLOBAL__N_112RedisService5ServeERN5celer9TcpStreamERNS_17ConnectionContextE.Frame*) [clone .actor] [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |-      -            
