configuration,round,workload,target,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,label,sha256,binary_sha256
16-worker historical,1,C,100000,READ,99804.38340851931,99804.38340851931,5000000,0,326.9815468,313,427,502,1050,2999,10463,hash-direct-read-r1-direct,8abf5f99dda0f2af1e06e15767bcb7d5bf834ca4c3cd93acdd46e9c390efbfde,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,1,C,100000,Intended-READ,99804.38340851931,99804.38340851931,5000000,0,391.6039002,371,487,572,1777,20495,56287,hash-direct-read-r1-direct,8abf5f99dda0f2af1e06e15767bcb7d5bf834ca4c3cd93acdd46e9c390efbfde,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,1,C,0,READ,453144.8250860975,453144.8250860975,5000000,0,516.3066394,488,691,1256,3653,8051,80191,hash-direct-read-r1-direct,4ea47cbec25eafb2067719f3d3e2a04532ffa69ac2a9f0b8b4eb408f651313ea,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,1,C,0,Intended-READ,453144.8250860975,453144.8250860975,5000000,0,516.3417146,488,691,1256,3653,8051,80191,hash-direct-read-r1-direct,4ea47cbec25eafb2067719f3d3e2a04532ffa69ac2a9f0b8b4eb408f651313ea,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,2,C,100000,READ,99824.30921578023,99824.30921578023,5000000,0,328.5961874,316,421,483,974,2667,25359,hash-direct-read-r2-direct,f48ab28c636e2d7eb1ae853b5c024e0c60df608b6d24b23f09fa06f84db8dcc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,2,C,100000,Intended-READ,99824.30921578023,99824.30921578023,5000000,0,398.4257882,374,481,552,1652,32063,56511,hash-direct-read-r2-direct,f48ab28c636e2d7eb1ae853b5c024e0c60df608b6d24b23f09fa06f84db8dcc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,2,C,0,READ,457289.18968355586,457289.18968355586,5000000,0,513.978164,489,687,1125,3551,7479,53951,hash-direct-read-r2-direct,340ac2e885eb470b7bd6399dd2e81c88c6318e6e2d027ed25d0e7dde42404dc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,2,C,0,Intended-READ,457289.18968355586,457289.18968355586,5000000,0,514.0132952,489,687,1125,3551,7479,53951,hash-direct-read-r2-direct,340ac2e885eb470b7bd6399dd2e81c88c6318e6e2d027ed25d0e7dde42404dc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,3,C,100000,READ,99758.58422617266,99758.58422617266,5000000,0,336.5212958,323,439,521,994,2659,35135,hash-direct-read-r3-direct,63faa21bdc62304e93e9e55b50315682c36da84a6b7ffa6443ae9c3f4c509378,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,3,C,100000,Intended-READ,99758.58422617266,99758.58422617266,5000000,0,419.8812182,381,499,594,3315,50175,80511,hash-direct-read-r3-direct,63faa21bdc62304e93e9e55b50315682c36da84a6b7ffa6443ae9c3f4c509378,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,3,C,0,READ,456746.1404951128,456746.1404951128,5000000,0,514.6109254,489,691,1169,3335,9303,37791,hash-direct-read-r3-direct,49e5fd02df508794c565adf4ccb0f06fede21ce3da01b610132e10a3a7cba810,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,3,C,0,Intended-READ,456746.1404951128,456746.1404951128,5000000,0,514.6459244,489,691,1169,3335,9303,37791,hash-direct-read-r3-direct,49e5fd02df508794c565adf4ccb0f06fede21ce3da01b610132e10a3a7cba810,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
16-worker historical,1,A,100000,READ,99830.2885095338,49937.68593391235,2501129,0,354.5639045407094,316,418,767,4919,49311,252415,hash-direct-reserve-r1-reserve,d1b345a13d61d79e0ec7bdf6bb99115984f57eb3d989a17c07ad33711b2941b5,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
16-worker historical,1,A,100000,Intended-READ,99830.2885095338,49937.68593391235,2501129,0,608.2651142743937,375,485,3719,43679,70079,252415,hash-direct-reserve-r1-reserve,d1b345a13d61d79e0ec7bdf6bb99115984f57eb3d989a17c07ad33711b2941b5,b529e11762978bd958e08d565b16eea9e150e0bb75c605f9337c01ca5831878f
