mode,workload,target,operation,qps,p99_ms,p999_ms,p9999_ms,average_us,p50_us,p95_us,max_us,successful,raw_log,start_utc,end_utc,batch,flush_max_ms
hreplace,C,100000,READ,99973.90304464479,0.487,0.61,1.245,311.700118750473,298,410,44543,29995670,flush100-abcd-20260914-hreplace-c-c256-target100000-measured.log,2026-09-14T16:01:47Z,2026-09-14T16:06:47Z,flush100-abcd-20260914,100
hreplace,C,0,READ,549885.0413066153,0.738,2.587,4.023,463.79538445997736,448,607,54911,165005654,flush100-abcd-20260914-hreplace-c-c256-measured.log,2026-09-14T16:06:51Z,2026-09-14T16:11:51Z,flush100-abcd-20260914,100
hreplace,A,100000,READ,49984.38286314176,0.577,1.116,2.365,308.32265664421755,296,391,19487,14998064,flush100-abcd-20260914-hreplace-a-c256-target100000-measured.log,2026-09-14T16:12:02Z,2026-09-14T16:17:03Z,flush100-abcd-20260914,100
hreplace,A,100000,UPDATE,49980.456916232026,0.437,1.053,3.489,229.20348097598395,217,307,21039,14996886,flush100-abcd-20260914-hreplace-a-c256-target100000-measured.log,2026-09-14T16:12:02Z,2026-09-14T16:17:03Z,flush100-abcd-20260914,100
hreplace,A,0,READ,236730.1303756632,2.953,4.967,6.759,630.8023318435321,534,1198,47583,71032296,flush100-abcd-20260914-hreplace-a-c256-measured.log,2026-09-14T16:17:06Z,2026-09-14T16:22:07Z,flush100-abcd-20260914,100
hreplace,A,0,UPDATE,236747.32050017331,1.976,3.215,4.403,446.6655401951765,392,732,43039,71037454,flush100-abcd-20260914-hreplace-a-c256-measured.log,2026-09-14T16:17:06Z,2026-09-14T16:22:07Z,flush100-abcd-20260914,100
hreplace,B,100000,READ,94976.36291524045,0.446,0.626,1.25,299.70934067760015,292,375,15007,28496423,flush100-abcd-20260914-hreplace-b-c256-target100000-measured.log,2026-09-14T16:22:18Z,2026-09-14T16:27:18Z,flush100-abcd-20260914,100
hreplace,B,100000,UPDATE,4998.523515433097,0.392,0.531,1.243,230.70679623561918,221,315,14159,1499742,flush100-abcd-20260914-hreplace-b-c256-target100000-measured.log,2026-09-14T16:22:18Z,2026-09-14T16:27:18Z,flush100-abcd-20260914,100
hreplace,B,0,READ,508439.7696368581,0.861,2.851,4.443,481.8901035614804,460,652,60479,152556336,flush100-abcd-20260914-hreplace-b-c256-measured.log,2026-09-14T16:27:22Z,2026-09-14T16:32:23Z,flush100-abcd-20260914,100
hreplace,B,0,UPDATE,26744.850823868182,0.681,1.934,3.677,374.8024415498124,359,521,40735,8024739,flush100-abcd-20260914-hreplace-b-c256-measured.log,2026-09-14T16:27:22Z,2026-09-14T16:32:23Z,flush100-abcd-20260914,100
hreplace,D,100000,INSERT,4998.056951647091,0.393,0.557,1.28,229.57303200707904,219,316,22191,1499637,flush100-abcd-20260914-hreplace-d-c256-target100000-measured.log,2026-09-14T16:32:34Z,2026-09-14T16:37:34Z,flush100-abcd-20260914,100
hreplace,D,100000,READ,94975.84354294704,0.454,0.636,1.241,297.44289722135704,289,377,20095,28496932,flush100-abcd-20260914-hreplace-d-c256-target100000-measured.log,2026-09-14T16:32:34Z,2026-09-14T16:37:34Z,flush100-abcd-20260914,100
hreplace,D,0,INSERT,27168.96512650972,0.616,2.01,3.925,373.0391471712398,360,501,115711,8152211,flush100-abcd-20260914-hreplace-d-c256-measured.log,2026-09-14T16:37:38Z,2026-09-14T16:42:38Z,flush100-abcd-20260914,100
hreplace,D,0,READ,516507.9551816994,0.75,2.925,4.595,473.9918664644668,458,621,73919,154981311,flush100-abcd-20260914-hreplace-d-c256-measured.log,2026-09-14T16:37:38Z,2026-09-14T16:42:38Z,flush100-abcd-20260914,100
aerospike,C,100000,READ,99930.75359130754,0.471,0.613,1.304,298.6205409245158,285,397,253311,29982224,main-f666837-abcd-20260914-aerospike-c-c256-target100000-measured.log,2026-09-14T11:12:51Z,2026-09-14T11:17:52Z,main-f666837-abcd-20260914,
aerospike,C,0,READ,404598.39349398395,5.019,10.911,18.911,629.7420924878065,438,1440,179711,121391656,main-f666837-abcd-20260914-aerospike-c-c256-measured.log,2026-09-14T11:17:59Z,2026-09-14T11:23:00Z,main-f666837-abcd-20260914,
aerospike,A,100000,READ,49956.49130759386,0.436,0.572,1.357,290.3864508939026,281,370,26031,14988546,main-f666837-abcd-20260914-aerospike-a-c256-target100000-measured.log,2026-09-14T11:23:15Z,2026-09-14T11:28:16Z,main-f666837-abcd-20260914,
aerospike,A,100000,UPDATE,49937.54666168942,0.353,0.473,1.239,213.26027891066474,204,289,24815,14982862,main-f666837-abcd-20260914-aerospike-a-c256-target100000-measured.log,2026-09-14T11:23:15Z,2026-09-14T11:28:16Z,main-f666837-abcd-20260914,
aerospike,A,0,READ,242839.66590675784,3.223,13.247,29.311,589.7242124767444,468,912,122303,72860642,main-f666837-abcd-20260914-aerospike-a-c256-measured.log,2026-09-14T11:28:23Z,2026-09-14T11:33:24Z,main-f666837-abcd-20260914,
aerospike,A,0,UPDATE,242831.27691343706,2.633,12.191,27.727,458.3787491237251,350,742,98495,72858125,main-f666837-abcd-20260914-aerospike-a-c256-measured.log,2026-09-14T11:28:23Z,2026-09-14T11:33:24Z,main-f666837-abcd-20260914,
