stage,workload,round,variant,target,workers,histogram,total_qps,op_qps,count,failed,avg_us,p50_us,p95_us,p99_us,p999_us,p9999_us,max_us,log,sha256,binary_sha256
read,C,1,move,100000,256,READ,99740.6742469579,99740.6742469579,5000000,0,331.2971992,318,430,501,1020,2515,15503,hash-direct-read-r1-move-hmset-c-c256-target100000-measured.log,98f16f1e5d048aeae19180186371d4a74d0df07b6698033baedb590f498ff6c1,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,1,move,100000,256,Intended-READ,99740.6742469579,99740.6742469579,5000000,0,399.2846884,377,491,573,1610,30351,51871,hash-direct-read-r1-move-hmset-c-c256-target100000-measured.log,98f16f1e5d048aeae19180186371d4a74d0df07b6698033baedb590f498ff6c1,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,1,move,0,256,READ,450166.56162780226,450166.56162780226,5000000,0,522.4647132,499,696,1073,3287,9735,49311,hash-direct-read-r1-move-hmset-c-c256-measured.log,e689d3cc65a5093a036bc89b9c354bac98a496b69907b8e3194f810a57c2a3c9,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,1,move,0,256,Intended-READ,450166.56162780226,450166.56162780226,5000000,0,522.5007226,499,696,1074,3287,9735,49311,hash-direct-read-r1-move-hmset-c-c256-measured.log,e689d3cc65a5093a036bc89b9c354bac98a496b69907b8e3194f810a57c2a3c9,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,1,direct,100000,256,READ,99804.38340851931,99804.38340851931,5000000,0,326.9815468,313,427,502,1050,2999,10463,hash-direct-read-r1-direct-hmset-c-c256-target100000-measured.log,8abf5f99dda0f2af1e06e15767bcb7d5bf834ca4c3cd93acdd46e9c390efbfde,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,1,direct,100000,256,Intended-READ,99804.38340851931,99804.38340851931,5000000,0,391.6039002,371,487,572,1777,20495,56287,hash-direct-read-r1-direct-hmset-c-c256-target100000-measured.log,8abf5f99dda0f2af1e06e15767bcb7d5bf834ca4c3cd93acdd46e9c390efbfde,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,1,direct,0,256,READ,453144.8250860975,453144.8250860975,5000000,0,516.3066394,488,691,1256,3653,8051,80191,hash-direct-read-r1-direct-hmset-c-c256-measured.log,4ea47cbec25eafb2067719f3d3e2a04532ffa69ac2a9f0b8b4eb408f651313ea,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,1,direct,0,256,Intended-READ,453144.8250860975,453144.8250860975,5000000,0,516.3417146,488,691,1256,3653,8051,80191,hash-direct-read-r1-direct-hmset-c-c256-measured.log,4ea47cbec25eafb2067719f3d3e2a04532ffa69ac2a9f0b8b4eb408f651313ea,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,2,move,100000,256,READ,99798.40721742081,99798.40721742081,5000000,0,333.1506678,319,433,507,1006,2633,27567,hash-direct-read-r2-move-hmset-c-c256-target100000-measured.log,b29476ea00d505662e9eb252e5c940018e0ee1ddce30592a5e600c35b86f017a,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,2,move,100000,256,Intended-READ,99798.40721742081,99798.40721742081,5000000,0,412.9232942,378,493,580,2783,47295,74175,hash-direct-read-r2-move-hmset-c-c256-target100000-measured.log,b29476ea00d505662e9eb252e5c940018e0ee1ddce30592a5e600c35b86f017a,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,2,move,0,256,READ,440257.11015232897,440257.11015232897,5000000,0,517.7303242,494,699,982,3357,7051,84287,hash-direct-read-r2-move-hmset-c-c256-measured.log,e6a6d95f78df6c5d2042a08965928df1bd0aea857653c5fb0c1e28ddf5e05cf8,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,2,move,0,256,Intended-READ,440257.11015232897,440257.11015232897,5000000,0,517.7649046,494,699,982,3357,7051,84287,hash-direct-read-r2-move-hmset-c-c256-measured.log,e6a6d95f78df6c5d2042a08965928df1bd0aea857653c5fb0c1e28ddf5e05cf8,5d2c6ef77c77240eb01cf15d70eec0a5629b29d7477f28f1cf9a2278ad7dbe9c
read,C,2,direct,100000,256,READ,99824.30921578023,99824.30921578023,5000000,0,328.5961874,316,421,483,974,2667,25359,hash-direct-read-r2-direct-hmset-c-c256-target100000-measured.log,f48ab28c636e2d7eb1ae853b5c024e0c60df608b6d24b23f09fa06f84db8dcc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,2,direct,100000,256,Intended-READ,99824.30921578023,99824.30921578023,5000000,0,398.4257882,374,481,552,1652,32063,56511,hash-direct-read-r2-direct-hmset-c-c256-target100000-measured.log,f48ab28c636e2d7eb1ae853b5c024e0c60df608b6d24b23f09fa06f84db8dcc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,2,direct,0,256,READ,457289.18968355586,457289.18968355586,5000000,0,513.978164,489,687,1125,3551,7479,53951,hash-direct-read-r2-direct-hmset-c-c256-measured.log,340ac2e885eb470b7bd6399dd2e81c88c6318e6e2d027ed25d0e7dde42404dc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
read,C,2,direct,0,256,Intended-READ,457289.18968355586,457289.18968355586,5000000,0,514.0132952,489,687,1125,3551,7479,53951,hash-direct-read-r2-direct-hmset-c-c256-measured.log,340ac2e885eb470b7bd6399dd2e81c88c6318e6e2d027ed25d0e7dde42404dc4,bdccd7093b0bb745d29c347e1e610ba5023392b8da994adf9270c5c5f1391ac1
