mode,workload,target,operation,qps,p99_ms,p999_ms,p9999_ms,average_us,p50_us,p95_us,max_us,successful,raw_log
hreplace,C,100000,READ,99974.7439567801,0.462,0.573,1.279,312.41201622609,300,406,208895,29997122,main-f666837-abcd-20260914-hreplace-c-c256-target100000-measured.log
hreplace,C,0,READ,546596.2840145973,0.759,2.545,3.957,466.624854809751,450,622,53951,164008948,main-f666837-abcd-20260914-hreplace-c-c256-measured.log
hreplace,A,100000,READ,49984.87893482644,0.815,4.515,7.939,322.8602529599013,295,390,256127,14997713,main-f666837-abcd-20260914-hreplace-a-c256-target100000-measured.log
hreplace,A,100000,UPDATE,49987.671849222614,0.458,2.471,3.999,234.10513088897721,217,307,207999,14998551,main-f666837-abcd-20260914-hreplace-a-c256-target100000-measured.log
hreplace,A,0,READ,234642.36386542858,3.335,5.799,7.291,633.7665762409392,532,1118,203135,70400687,main-f666837-abcd-20260914-hreplace-a-c256-measured.log
hreplace,A,0,UPDATE,234683.05592032903,2.273,4.591,5.999,452.49449252875496,392,692,72895,70412896,main-f666837-abcd-20260914-hreplace-a-c256-measured.log
hreplace,B,100000,READ,94968.79416077856,0.442,0.838,2.397,297.41650087699577,289,372,55199,28494437,main-f666837-abcd-20260914-hreplace-b-c256-target100000-measured.log
hreplace,B,100000,UPDATE,5002.669644047461,0.383,0.607,3.345,228.53752662389965,218,311,54527,1501001,main-f666837-abcd-20260914-hreplace-b-c256-target100000-measured.log
hreplace,B,0,READ,503846.75172312657,0.916,3.189,5.151,486.2809921540847,462,649,83455,151172164,main-f666837-abcd-20260914-hreplace-b-c256-measured.log
hreplace,B,0,UPDATE,26514.631577544027,0.7,2.125,3.497,378.47380352125566,361,524,202751,7955344,main-f666837-abcd-20260914-hreplace-b-c256-measured.log
hreplace,D,100000,READ,94975.74998083596,0.45,0.571,1.292,300.427266020576,291,376,57983,28496619,main-f666837-abcd-20260914-hreplace-d-c256-target100000-measured.log
hreplace,D,100000,INSERT,4998.696844764549,0.382,0.497,1.193,231.16256215770755,222,315,13143,1499814,main-f666837-abcd-20260914-hreplace-d-c256-target100000-measured.log
hreplace,D,0,READ,514902.77856469154,0.766,2.915,4.515,475.4305834710519,459,624,29439,154495034,main-f666837-abcd-20260914-hreplace-d-c256-measured.log
hreplace,D,0,INSERT,27104.27033098148,0.632,1.945,3.845,373.8811517413654,361,507,22735,8132555,main-f666837-abcd-20260914-hreplace-d-c256-measured.log
aerospike,C,100000,READ,99930.75359130754,0.471,0.613,1.304,298.6205409245158,285,397,253311,29982224,main-f666837-abcd-20260914-aerospike-c-c256-target100000-measured.log
aerospike,C,0,READ,404598.39349398395,5.019,10.911,18.911,629.7420924878065,438,1440,179711,121391656,main-f666837-abcd-20260914-aerospike-c-c256-measured.log
aerospike,A,100000,READ,49956.49130759386,0.436,0.572,1.357,290.3864508939026,281,370,26031,14988546,main-f666837-abcd-20260914-aerospike-a-c256-target100000-measured.log
aerospike,A,100000,UPDATE,49937.54666168942,0.353,0.473,1.239,213.26027891066474,204,289,24815,14982862,main-f666837-abcd-20260914-aerospike-a-c256-target100000-measured.log
aerospike,A,0,READ,242839.66590675784,3.223,13.247,29.311,589.7242124767444,468,912,122303,72860642,main-f666837-abcd-20260914-aerospike-a-c256-measured.log
aerospike,A,0,UPDATE,242831.27691343706,2.633,12.191,27.727,458.3787491237251,350,742,98495,72858125,main-f666837-abcd-20260914-aerospike-a-c256-measured.log
aerospike,B,100000,READ,94854.826453002,0.461,0.608,1.335,293.47533712000137,282,382,53695,28459673,main-f666837-abcd-20260914-aerospike-b-c256-target100000-measured.log
aerospike,B,100000,UPDATE,4991.360979089037,0.388,0.526,1.219,221.8983652270533,210,312,18719,1497578,main-f666837-abcd-20260914-aerospike-b-c256-target100000-measured.log
aerospike,B,0,READ,394377.50224977505,5.575,14.423,26.639,619.6674467210595,433,951,124927,118325082,main-f666837-abcd-20260914-aerospike-b-c256-measured.log
aerospike,B,0,UPDATE,20764.21691164217,4.963,13.391,25.167,505.7784403186703,336,809,125631,6229888,main-f666837-abcd-20260914-aerospike-b-c256-measured.log
aerospike,D,100000,READ,94917.612869469,0.453,0.593,1.357,291.4535925570288,280,379,30959,28480884,main-f666837-abcd-20260914-aerospike-d-c256-target100000-measured.log
aerospike,D,100000,INSERT,5001.076454963857,0.382,0.507,1.226,220.66868450198518,209,309,15047,1500618,main-f666837-abcd-20260914-aerospike-d-c256-target100000-measured.log
aerospike,D,0,READ,391824.329909277,5.551,14.495,27.055,624.2185745344098,436,974,217983,117560621,main-f666837-abcd-20260914-aerospike-d-c256-measured.log
aerospike,D,0,INSERT,20640.59739896145,4.943,13.551,26.127,510.9142675275046,340,835,85631,6192881,main-f666837-abcd-20260914-aerospike-d-c256-measured.log
