database,workload,workers,operation,runtime_ms,count,operation_qps,overall_success_qps,failed,log,sha256,avg_us,min_us,max_us,p50_us,p95_us,p99_us,p999_us,p9999_us
hmset,A,256,READ,13926,2501294,179613.24141892864,359040.64340083295,0,hmset-a-c256-measured.log,1660335012260b203a56f2438e649a0274d505800003c11166029dbc28130875,655.4191730360366,171,40767,567,1004,3009,7015,17919
hmset,A,256,UPDATE,13926,2498706,179427.40198190435,359040.64340083295,0,hmset-a-c256-measured.log,1660335012260b203a56f2438e649a0274d505800003c11166029dbc28130875,673.3812737472916,195,40703,583,1033,3069,7023,17727
hmset,B,256,READ,12475,4751992,380921.2024048096,400801.6032064128,0,hmset-b-c256-measured.log,3f269c17d33dbeb657ca180c8b833751496f7c4a7c259927ad0a2eb2a2391818,594.3805351524161,213,302079,523,860,2185,4735,16943
hmset,B,256,UPDATE,12475,248008,19880.400801603206,400801.6032064128,0,hmset-b-c256-measured.log,3f269c17d33dbeb657ca180c8b833751496f7c4a7c259927ad0a2eb2a2391818,618.0885294022773,251,302847,541,880,2245,4927,66751
hmset,C,256,READ,11784,5000000,424304.1412084182,424304.1412084182,0,hmset-c-c256-measured.log,354fdddb1d839f6e5f43408bc1216eff12bdbf4b94253f779e85f2e308c81a5a,556.6534796,229,112575,511,805,1455,4001,23615
hmset,D,256,READ,11711,4750050,405605.84066262486,426949.02228673897,0,hmset-d-c256-measured.log,614a961b5c96f781b4342988a31fdeaca1cfeba37fd18042ae947f02c8301182,554.7241384827528,212,188287,520,783,1155,3433,12879
hmset,D,256,INSERT,11711,249950,21343.18162411408,426949.02228673897,0,hmset-d-c256-measured.log,614a961b5c96f781b4342988a31fdeaca1cfeba37fd18042ae947f02c8301182,426.42258851770356,167,167423,397,601,939,2673,11559
hreplace,A,256,READ,12603,2498373,198236.37229231137,396730.9370784734,0,hreplace-a-c256-measured.log,439cae91dc8f60e395985304743423ddfcfa501d3fe73a90d0686f95e4093a35,658.3747586929574,190,92031,558,1007,3551,7151,19439
hreplace,A,256,UPDATE,12603,2501627,198494.56478616202,396730.9370784734,0,hreplace-a-c256-measured.log,439cae91dc8f60e395985304743423ddfcfa501d3fe73a90d0686f95e4093a35,504.40027230278537,160,88831,418,775,2845,6115,20815
hreplace,B,256,READ,11931,4749871,398111.7257564328,419076.3557120107,0,hreplace-b-c256-measured.log,2226b63cba4be6d67ca6b8037717c61633c317c81888f0f3f9f8498c1594e09a,576.9077480209462,210,77887,526,899,1486,3829,17903
hreplace,B,256,UPDATE,11931,250129,20964.629955577908,419076.3557120107,0,hreplace-b-c256-measured.log,2226b63cba4be6d67ca6b8037717c61633c317c81888f0f3f9f8498c1594e09a,450.6947615030644,172,78463,401,730,1334,3741,24399
hreplace,C,256,READ,11300,5000000,442477.8761061947,442477.8761061947,0,hreplace-c-c256-measured.log,5e0ea201edee033f1e81d674f681b26981f7261f92a397824c745982a420f33a,530.5082318,225,48895,507,718,1105,3195,9687
hreplace,D,256,READ,11893,4749713,399370.4700243841,420415.3703859413,0,hreplace-d-c256-measured.log,157677549f87ad2852f7e1c715f319f1114b4f097532cbc1173327a28cd871be,558.589720473637,224,31743,520,796,1303,4211,16831
hreplace,D,256,INSERT,11893,250287,21044.90036155722,420415.3703859413,0,hreplace-d-c256-measured.log,157677549f87ad2852f7e1c715f319f1114b4f097532cbc1173327a28cd871be,430.2857399705139,170,27231,398,612,1069,3815,15391
aerospike,A,256,READ,11904,2500567,210061.07190860214,420026.8817204301,0,aerospike-a-c256-measured.log,05145b401e3a237d75818d95d478ccf808a3e1bf33acff48a65a9bf3bdcb8bc8,627.2171719454028,172,132607,554,1093,1616,4033,13095
aerospike,A,256,UPDATE,11904,2499433,209965.80981182796,420026.8817204301,0,aerospike-a-c256-measured.log,05145b401e3a237d75818d95d478ccf808a3e1bf33acff48a65a9bf3bdcb8bc8,474.5254187649759,149,125887,406,904,1408,2957,4423
aerospike,B,256,READ,13625,4749824,348610.93577981653,366972.4770642202,0,aerospike-b-c256-measured.log,7ab6a921f585903199c28c552c34eabb77f53e0a40ffd93aea45c45bcd28f4b1,612.4284306113237,160,204031,545,1018,1401,3971,52991
aerospike,B,256,UPDATE,13625,250176,18361.54128440367,366972.4770642202,0,aerospike-b-c256-measured.log,7ab6a921f585903199c28c552c34eabb77f53e0a40ffd93aea45c45bcd28f4b1,479.99378037861345,157,78975,420,857,1214,3119,52511
aerospike,C,256,READ,13778,5000000,362897.37262302224,362897.37262302224,0,aerospike-c-c256-measured.log,402d2868404010dc7b6bc3c5f0eac5ee46e406f08bc054eaf5d865804db554d5,605.1161434,166,91007,539,1033,1423,3833,26399
aerospike,D,256,READ,13743,4750362,345656.8434839555,363821.5818962381,0,aerospike-d-c256-measured.log,5439a8cd32854c759315c13d3c6604ead078ab5fa14af768324b958b34e951b6,612.2932126014817,173,179839,544,1062,1516,3777,16207
aerospike,D,256,INSERT,13743,249638,18164.738412282615,363821.5818962381,0,aerospike-d-c256-measured.log,5439a8cd32854c759315c13d3c6604ead078ab5fa14af768324b958b34e951b6,483.4824626058533,156,40127,421,896,1322,3173,12975
